                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                  1.174,                 1.0982,                 1.5189,                0.66324,                   0.56,                0.58848,                0.26666,                 1.8565,                 1.8623,                 2.6542,              0.0013466,              0.0013466,              0.0013466
                     36,                 1.1889,                 1.1144,                  1.535,                0.63313,                0.65586,                0.55917,                0.24726,                 1.9148,                 1.6941,                 2.6669,              0.0013268,              0.0013268,              0.0013268
                     37,                 1.3484,                  1.326,                 1.6544,                0.69976,                   0.58,                0.57185,                0.24736,                   2.04,                 1.4891,                 2.9573,               0.001307,               0.001307,               0.001307
                     38,                 1.1593,                 1.1004,                 1.5155,                 0.6062,                   0.66,                0.64561,                0.30197,                 1.9243,                 1.5866,                 2.6109,              0.0012872,              0.0012872,              0.0012872
                     39,                 1.1949,                  1.176,                 1.5471,                0.69215,                0.67458,                0.68095,                0.31454,                 1.9685,                 1.6505,                 2.8023,              0.0012674,              0.0012674,              0.0012674
                     40,                 1.2329,                 1.1215,                  1.576,                0.58539,                   0.66,                0.61768,                0.27887,                 1.9796,                 1.5113,                 2.5679,              0.0012476,              0.0012476,              0.0012476
                     41,                 1.2099,                 1.0983,                 1.5481,                0.60727,                   0.66,                0.64864,                0.22523,                 2.1944,                 1.5802,                 2.8679,              0.0012278,              0.0012278,              0.0012278
                     42,                 1.3477,                  1.293,                   1.67,                0.58832,                   0.68,                0.61299,                0.27371,                 1.9936,                 1.6751,                 2.6413,               0.001208,               0.001208,               0.001208
                     43,                 1.1448,                 1.0212,                 1.4915,                0.74237,                0.57639,                0.64893,                0.27033,                 2.1024,                 1.5634,                 2.6926,              0.0011882,              0.0011882,              0.0011882
                     44,                 1.1301,                 1.0379,                 1.4673,                0.63297,                   0.68,                0.65013,                0.25288,                  2.125,                 1.5545,                 2.7897,              0.0011684,              0.0011684,              0.0011684
                     45,                 1.1479,                 1.0076,                 1.5002,                0.53551,                0.64569,                0.51246,                0.19807,                 2.4029,                 1.8517,                 3.2878,              0.0011486,              0.0011486,              0.0011486
                     46,                 1.1451,                 1.1634,                 1.4861,                0.50337,                   0.66,                0.54115,                0.19653,                 2.3325,                 1.9513,                 3.1484,              0.0011288,              0.0011288,              0.0011288
                     47,                 1.0482,                0.99814,                 1.4228,                0.54909,                0.63329,                0.51108,                0.18374,                 2.4066,                 1.7001,                 3.3384,               0.001109,               0.001109,               0.001109
